#Wavelength (cm)	Flux (erg s-1 cm-3)
1.292962078959309e-05	44022221697.598305
1.2936085599987886e-05	44198628025.73611
1.294255364278788e-05	44375122557.03801
1.2949024919609273e-05	44551705335.60556
1.2955499432069076e-05	44728376405.56236
1.296197718178511e-05	44905135811.05416
1.2968458170376001e-05	45081983596.24871
1.2974942399461189e-05	45258919805.33585
1.2981429870660918e-05	45435944482.52753
1.2987920585596248e-05	45613057672.05783
1.2994414545889045e-05	45790259418.18288
1.300091175316199e-05	45979735474.32949
1.300741220903857e-05	46243993972.87088
1.3013915915143089e-05	46508384600.66156
1.3020422873100659e-05	46772907423.76608
1.302693308453721e-05	47037562508.28222
1.3033446551079477e-05	47302349920.34055
1.3039963274355016e-05	47567269726.104965
1.3046483255992193e-05	47832321991.772224
1.3053006497620188e-05	48097506783.57232
1.3059533000868998e-05	48362824167.76835
1.3066062767369432e-05	48628274210.65647
1.3072595798753117e-05	48893856978.56605
1.3079132096652493e-05	49159572537.85956
1.3085671662700819e-05	49425420954.93273
1.309221449853217e-05	49691402296.21445
1.3098760605781434e-05	49957516628.16677
1.3105309986084325e-05	50223764017.28509
1.3111862641077366e-05	50490144530.09792
1.3118418572397904e-05	50756658233.16719
1.3124977781684102e-05	51023305193.08801
1.3131540270574943e-05	51290085476.48876
1.313810604071023e-05	51556999150.03122
1.3144675093730584e-05	51824046280.41043
1.3151247431277448e-05	52091226934.35483
1.3157823054993085e-05	52358541178.6262
1.316440196652058e-05	52625989080.0197
1.317098416750384e-05	52893570705.36392
1.3177569659587591e-05	53161286121.52084
1.3184158444417384e-05	53429135395.38583
1.3190750523639592e-05	53697118593.88774
1.3197345898901411e-05	53965235783.98889
1.3203944571850861e-05	54233487032.68513
1.3210546544136787e-05	54501872407.005714
1.3217151817408855e-05	54770391974.01344
1.3223760393317558e-05	55039045800.80466
1.3230372273514216e-05	55307833954.50928
1.3236987459650972e-05	55576756502.29073
1.3243605953380797e-05	55845813511.3461
1.3250227756357487e-05	56115005048.90601
1.3256852870235665e-05	56384331182.2347
1.3263481296670783e-05	56653791978.63007
1.3270113037319117e-05	56923387505.42357
1.3276748093837777e-05	57193117829.98054
1.3283386467884695e-05	57462983019.69976
1.3290028161118636e-05	57732983142.013794
1.3296673175199194e-05	58003118264.389
1.3303321511786793e-05	58273388454.32541
1.3309973172542686e-05	58543793779.3568
1.3316628159128956e-05	58814334307.050705
1.332328647320852e-05	59085010105.00845
1.3329948116445123e-05	59355821240.86514
1.3336613090503345e-05	59626767782.28981
1.3343281397048596e-05	59897849796.98517
1.334995303774712e-05	60169067352.68787
1.3356628014265992e-05	60440420517.16841
1.3363306328273124e-05	60711909358.23121
1.3369987981437259e-05	60983533943.714516
1.3376672975427977e-05	61255294341.4906
1.338336131191569e-05	61527190619.46554
1.3390052992571647e-05	61799222845.5795
1.3396748019067933e-05	62071391087.80653
1.3403446393077466e-05	62343695414.15465
1.3410148116274004e-05	62616135892.66594
1.341685319033214e-05	62888712591.41651
1.3423561616927306e-05	63161425578.51643
1.343027339773577e-05	63434274922.10994
1.3436988534434636e-05	63707260690.3752
1.3443707028701853e-05	63980382951.524605
1.3450428882216203e-05	64253641773.804596
1.3457154096657311e-05	64527037225.49575
1.346388267370564e-05	64800569374.912735
1.3470614615042491e-05	65074238290.40439
1.3477349922350012e-05	65348044040.35382
1.3484088597311186e-05	65621986693.17821
1.3490830641609841e-05	65896066317.329025
1.3497576056930645e-05	66170282981.2919
1.350432484495911e-05	66225470227.61564
1.351107700738159e-05	66157787527.81757
1.351783254588528e-05	66090070986.669624
1.3524591462158221e-05	66022320587.25109
1.35313537578893e-05	65954536312.63285
1.3538119434768243e-05	65886718145.87731
1.3544888494485626e-05	65818866070.03839
1.3551660938732868e-05	65750980068.16154
1.3558436769202233e-05	65683060123.28376
1.3565215987586833e-05	65615106218.43355
1.3571998595580625e-05	65547118336.6309
1.3578784594878414e-05	65479096460.88736
1.3585573987175853e-05	65411040574.205925
1.3592366774169441e-05	65342950659.58116
1.3599162957556525e-05	65274826699.999084
1.3605962539035302e-05	65206668678.43722
1.361276552030482e-05	65138476577.86456
1.3619571903064971e-05	65070250381.24164
1.3626381689016503e-05	65001990071.520386
1.363319487986101e-05	64933695631.64429
1.364001147730094e-05	64865367044.54825
1.3646831483039589e-05	64797004293.15866
1.3653654898781107e-05	64728607360.39338
1.3660481726230498e-05	64660176229.161705
1.3667311967093612e-05	64591710882.364426
1.3674145623077158e-05	64523211302.893745
1.3680982695888696e-05	64454677473.63333
1.3687823187236639e-05	64386109377.45828
1.3694667098830257e-05	64317506997.235146
1.3701514432379671e-05	64248870315.82189
1.370836518959586e-05	64180199316.06794
1.3715219372190657e-05	64111493980.81412
1.3722076981876752e-05	64042754292.892654
1.3728938020367689e-05	63973980235.12724
1.3735802489377871e-05	63905171790.33295
1.374267039062256e-05	63836328941.31624
1.374954172581787e-05	63767451670.87504
1.3756416496680779e-05	63698539961.79861
1.376329470492912e-05	63629593796.86763
1.3770176352281582e-05	63560613158.85421
1.3777061440457723e-05	63491598030.52177
1.3783949971177951e-05	63422548394.62516
1.379084194616354e-05	63353464233.9106
1.379773736713662e-05	63284345531.11569
1.3804636235820188e-05	63215192268.96938
1.3811538553938098e-05	63146004430.192
1.3818444323215066e-05	63076781997.49524
1.3825353545376672e-05	63007524953.58212
1.383226622214936e-05	62938233281.14705
1.3839182355260433e-05	62868906962.87576
1.3846101946438063e-05	62799545981.44533
1.3853024997411282e-05	62730150319.52418
1.3859951509909987e-05	62660719959.77207
1.3866881485664942e-05	62591254884.84009
1.3873814926407774e-05	62521755077.37064
