#Wavelength (cm)	Flux (erg s-1 cm-3)
1.1746377044491905e-05	10997876804.269548
1.175225023301415e-05	11003887444.278593
1.1758126358130656e-05	11009901089.607641
1.176400542130972e-05	11015917741.759356
1.1769887424020375e-05	11021937402.237144
1.1775772367732385e-05	11027960072.545174
1.178166025391625e-05	11033985754.188356
1.1787551084043208e-05	11040014448.672361
1.179344485958523e-05	11046046157.503609
1.1799341582015021e-05	11052080882.18927
1.1805241252806028e-05	11058118624.237274
1.181114387343243e-05	11064159385.156303
1.1817049445369146e-05	11070203166.455791
1.182295797009183e-05	11076249969.645927
1.1828869449076875e-05	11082299796.237661
1.1834783883801413e-05	11088352647.742691
1.1840701275743313e-05	11094408525.673473
1.1846621626381185e-05	11100467431.54322
1.1852544937194374e-05	11106529366.8659
1.1858471209662971e-05	11112594333.156244
1.1864400445267801e-05	11118662331.929731
1.1870332645490434e-05	11124733364.702606
1.1876267811813178e-05	11130807432.991867
1.1882205945719084e-05	11136884538.315273
1.1888147048691942e-05	11142964682.19134
1.1894091122216287e-05	11149047866.139345
1.1900038167777395e-05	11157526579.52492
1.1905988186861282e-05	11536583553.158535
1.1911941180954712e-05	11915830055.279034
1.1917897151545189e-05	12295266180.65057
1.192385610012096e-05	12674892024.084782
1.192981802817102e-05	13054707680.44069
1.1935782937185104e-05	13434713244.624794
1.1941750828653696e-05	13814908811.59098
1.1947721704068023e-05	14195294476.340729
1.1953695564920056e-05	14575870333.922783
1.1959672412702514e-05	14956636479.433594
1.1965652248908865e-05	15337593008.017208
1.1971635075033319e-05	15718740014.865154
1.1977620892570834e-05	16100077595.21645
1.1983609703017119e-05	16481605844.357925
1.1989601507868626e-05	16863324857.623997
1.199559630862256e-05	17245234730.396687
1.200159410677687e-05	17627335558.105816
1.2007594903830259e-05	18009627436.228806
1.2013598701282173e-05	18392110460.290783
1.2019605500632813e-05	18774784725.864784
1.2025615303383129e-05	19157650328.57166
1.203162811103482e-05	19540707364.079857
1.2037643925090337e-05	19923955928.10585
1.2043662747052882e-05	20307396116.413807
1.2049684578426408e-05	20691028024.81593
1.205570942071562e-05	21074851749.172226
1.2061737275425978e-05	21458867385.390736
1.206776814406369e-05	21843075029.4273
1.207380202813572e-05	22227474777.285904
1.2079838929149788e-05	22612066725.01844
1.2085878848614362e-05	22996850968.72483
1.2091921788038669e-05	23381827604.553143
1.2097967748932688e-05	23766996728.69934
1.2104016732807153e-05	878700299770.2216
1.2110068741173555e-05	2166632608882.8682
1.2116123775544141e-05	3455208884150.2617
1.2122181837431912e-05	4744429447555.192
1.2128242928350628e-05	6034294621241.962
1.2134307049814803e-05	7324804727515.66
1.2140374203339709e-05	8615960088842.17
1.2146444390441378e-05	9907761027849.605
1.2152517612636599e-05	11200207867326.504
1.2158593871442915e-05	12493300930222.924
1.2164673168378635e-05	12616793244791.994
1.2170755504962824e-05	12388050797917.756
1.2176840882715304e-05	12159193979820.11
1.218292930315666e-05	11930222733313.404
1.2189020767808237e-05	11701137001183.453
1.2195115278192141e-05	11471936726187.398
1.2201212835831237e-05	11242621851053.84
1.2207313442249152e-05	11013192318482.707
1.2213417098970276e-05	10783648071145.324
1.221952380751976e-05	10553989051684.285
1.2225633569423519e-05	10324215202713.51
1.2231746386208229e-05	10094326466818.252
1.2237862259401332e-05	9864322786555.031
1.2243981190531032e-05	9634204104451.695
1.2250103181126296e-05	9403970363007.3
1.2256228232716859e-05	9173621504692.166
1.2262356346833217e-05	8943157471947.877
1.2268487525006632e-05	8712578207187.227
1.2274621768769134e-05	8481883652794.205
1.2280759079653519e-05	8251073751123.947
1.2286899459193345e-05	8020148444502.852
1.2293042908922942e-05	7789107675228.457
1.2299189430377402e-05	7557951385569.442
1.2305339025092591e-05	7326679517765.562
1.2311491694605136e-05	7095292014027.836
1.2317647440452437e-05	6863788816538.233
1.2323806264172663e-05	6632169867449.864
1.2329968167304748e-05	6400435108886.976
1.23361331513884e-05	6168584482944.765
1.2342301217964093e-05	5936617931689.63
1.2348472368573074e-05	5704535397158.857
1.235464660475736e-05	5472336821360.805
1.2360823928059738e-05	5240022146274.846
1.2367004340023766e-05	5007591313851.364
1.2373187842193778e-05	4775044266011.627
1.2379374436114875e-05	4542380944647.98
1.2385564123332932e-05	4309601291623.6523
1.2391756905394598e-05	4076705248772.8193
1.2397952783847296e-05	3843692757900.545
1.2404151760239219e-05	3610563760782.838
1.2410353836119338e-05	3377318199166.592
1.2416559013037397e-05	3143956014769.5254
1.2422767292543915e-05	2910477149280.301
1.2428978676190187e-05	2676881544358.2734
1.2435193165528281e-05	2443169141633.8164
1.2441410762111045e-05	2209339882707.99
1.24476314674921e-05	1975393709152.6777
1.2453855283225845e-05	1741330562510.6504
1.2460082210867458e-05	1507150384295.2402
1.2466312251972892e-05	1272853115990.7285
1.2472545408098878e-05	1038438699052.0957
1.2478781680802926e-05	803907074905.0078
1.2485021071643326e-05	569258184945.8281
1.2491263582179147e-05	334491970541.6797
1.2497509213970236e-05	99608373030.3086
1.2503757968577221e-05	5954583634.049027
1.251000984756151e-05	5985934779.969249
1.2516264852485289e-05	6017301601.462424
1.2522522984911531e-05	6048684106.366354
1.2528784246403987e-05	6080082302.522737
1.2535048638527189e-05	6111496197.777194
1.2541316162846452e-05	6142925799.979276
1.2547586820927875e-05	6174371116.982463
1.2553860614338339e-05	6205832156.644154
1.2560137544645507e-05	6237308926.825669
1.2566417613417829e-05	6268801435.392275
1.2572700822224537e-05	6300309690.213167
1.2578987172635649e-05	6331833699.16147
1.2585276666221966e-05	6363373470.114246
1.2591569304555077e-05	6394929010.952501
1.2597865089207355e-05	6426500329.561175
1.2604164021751957e-05	6458087433.829149
1.2610466103762833e-05	6489690331.649261
1.2616771336814713e-05	6521309030.918277
1.2623079722483119e-05	6552943539.536928
1.2629391262344359e-05	6584593865.409887
1.263570595797553e-05	6616260016.445787
1.2642023810954517e-05	6647942000.557202
1.2648344822859993e-05	6679639825.660673
1.2654668995271423e-05	6711353499.676701
1.2660996329769058e-05	6743083030.529733
1.2667326827933941e-05	6774828426.14819
1.2673660491347908e-05	6806589694.464462
1.2679997321593581e-05	6838366843.414887
1.2686337320254377e-05	6870159880.939792
1.2692680488914503e-05	6901968814.983454
1.269902682915896e-05	6933793653.494144
1.2705376342573539e-05	6965634404.424084
1.2711729030744824e-05	6997491075.729486
1.2718084895260195e-05	7029363675.370543
1.2724443937707825e-05	7061252211.311424
1.2730806159676678e-05	7093156691.520273
1.2737171562756516e-05	7125077123.969232
1.2743540148537893e-05	7157013516.63441
1.2749911918612162e-05	7188965877.495926
1.2756286874571467e-05	7220934214.537867
1.2762665018008752e-05	7252918535.748328
1.2769046350517756e-05	7284918849.1194
1.2775430873693015e-05	7316935162.647155
1.2781818589129861e-05	7348967484.331676
1.2788209498424426e-05	7381015822.177038
1.2794603603173637e-05	7413080184.191319
1.2801000904975222e-05	7445160578.386606
1.2807401405427709e-05	7477257012.778994
1.2813805106130422e-05	7509369495.38858
1.2820212008683486e-05	7541498034.239466
1.2826622114687828e-05	7573642637.359783
1.2833035425745171e-05	7605803312.781659
1.2839451943458044e-05	7637980068.541247
1.2845871669429772e-05	7670172912.678711
1.2852294605264486e-05	7702381853.238249
1.2858720752567117e-05	7734606898.268061
1.28651501129434e-05	7766848055.820389
1.2871582687999872e-05	7799105333.951496
1.2878018479343872e-05	7831378740.72167
1.2884457488583543e-05	7863668284.195227
1.2890899717327833e-05	7895973972.4405155
1.2897345167186497e-05	7928295813.52993
1.290379383977009e-05	7960633815.539892
